to collect: 103
[1/103] OK 公益財団法人北広島市夜間急病協会 | awardees=0 fy=None
[47/103] OK 公益財団法人福武財団 | awardees=28 fy=2026
[48/103] OK 公益財団法人藤原科学財団 | awardees=2 fy=2025
[49/103] OK 公益財団法人福岡直彦記念財団 | awardees=6 fy=2023
[50/103] OK 公益財団法人長谷川留学生奨学財団 | awardees=0 fy=2026
[51/103] OK 公益財団法人豊秋奨学会 | awardees=0 fy=None
[52/103] OK 公益財団法人衣笠繊維研究所 | awardees=0 fy=None
[53/103] OK 公益財団法人鈴木万平糖尿病財団 | awardees=27 fy=2026
[54/103] OK 公益財団法人群馬健康医学振興会 | awardees=11 fy=2024
[55/103] OK 公益財団法人関通物流技術振興財団 | awardees=0 fy=None
[56/103] OK 公益財団法人若狭湾エネルギー研究センター | awardees=8 fy=2025
[57/103] OK 公益財団法人食生活研究会 | awardees=17 fy=2025
[58/103] OK 日本理学療法士協会 | awardees=5 fy=2026
[59/103] OK 公益財団法人立松財団 | awardees=72 fy=2025
[60/103] OK 日本愛玩動物協会 | awardees=7 fy=2025
[61/103] OK 日本ユネスコ協会連盟 | awardees=5 fy=2025
[62/103] OK 国立研究開発法人　科学技術振興機構　社会技術 | awardees=12 fy=2025
[63/103] OK 日本奥山学会 | awardees=1 fy=2025
[64/103] OK 日本社会福祉マネジメント学会 | awardees=3 fy=2020
[65/103] OK （一社）倫理研究所 | awardees=2 fy=2026
[66/103] OK 日本健康開発財団 | awardees=6 fy=2025
[67/103] OK 明治安田生命保険相互会社/（一社）全国食支援 | awardees=0 fy=2020
[68/103] OK ボーイング社 | awardees=5 fy=2016
[69/103] OK 公益財団法人静岡市文化振興財団 | awardees=0 fy=2025
[70/103] OK ドラベ症候群の研究治療を進める会 | awardees=1 fy=2019
[71/103] OK （一財）地域生活研究所 | awardees=9 fy=2018
[72/103] OK （公財）都市緑化機構/第一生命保険株式会社/ | awardees=13 fy=2025
[73/103] OK 河北潟湖沼研究所 | awardees=1 fy=2023
[74/103] OK 日本ユネスコ国内委員会 | awardees=3 fy=2025
[75/103] OK 公益信託富士フイルム・グリーンファンド | awardees=13 fy=2025
[76/103] OK 第一生命保険株式会社 | awardees=13 fy=2025
[77/103] OK (一財）児童健全育成推進財団／NPO法人日本 | awardees=12 fy=2025
[78/103] OK （公財）生協総合研究所　アジア生協協力基金 | awardees=8 fy=2025
[79/103] OK （一財）地球産業文化研究所 | awardees=10 fy=2016
[80/103] OK 文部科学省初等中等教育局幼児教育課 | awardees=7 fy=2025
[81/103] OK 公益財団法人フランスベッド・メディカルホーム | awardees=38 fy=2026
[82/103] OK 認定NPO法人 高木仁三郎市民科学基金 | awardees=14 fy=2024
[83/103] OK 国立研究開発法人情報通信研究機構 | awardees=1 fy=2026
[84/103] OK （一財）みなと総合研究財団 | awardees=9 fy=2025
[85/103] OK 農林水産省／農林水産政策研究所 | awardees=2 fy=2024
[86/103] OK （社福）社会福祉事業研究開発基金 | awardees=0 fy=None
[87/103] OK step22 | awardees=0 fy=None
[88/103] OK 笹川スポーツ財団 | awardees=49 fy=2019
[89/103] OK （独法）郵便貯金・簡易生命保険管理機構 | awardees=0 fy=2014
[90/103] OK がんを語りあう広場/ノバルティス ファーマ株 | awardees=0 fy=2014
[91/103] OK 経済産業省／ランドブレイン株式会社 | awardees=10 fy=2024
[92/103] OK 篠原欣子記念財団 | awardees=0 fy=2025
[93/103] OK 山口老年総合研究所 | awardees=1 fy=2025
[94/103] OK 母子健康協会 | awardees=17 fy=2025
[95/103] OK 公益財団法人小野奨学会 | awardees=0 fy=None
[96/103] OK 愛知腎臓財団 | awardees=16 fy=2025
[97/103] OK iPSアカデミアジャパン株式会社 | awardees=5 fy=2025
[98/103] OK 公益財団法人コスメトロジー研究振興財団 | awardees=32 fy=2025
[99/103] OK 公益財団法人佐川がん研究振興財団 | awardees=25 fy=2025
[100/103] OK 味の素食の文化センター | awardees=10 fy=2025
[101/103] OK 公益財団法人中谷医工計測技術振興財団 | awardees=46 fy=2026
[102/103] OK 朝日インテック･宮田尚彦 医療技術支援財団 | awardees=6 fy=2025
[103/103] OK 生命保険協会 | awardees=150 fy=2025
