to collect: 118
[1/118] OK テル・コーポレーション | officers=1 企業役員=1
[54/118] OK 助成財団センター | officers=28 企業役員=0
[55/118] OK 公益財団法人むつ小川原地域・産業振興財団 | officers=17 企業役員=0
[56/118] OK 公益財団法人にいがた産業創造機構 | officers=17 企業役員=4
[57/118] OK 公益財団法人コスメトロジー研究振興財団 | officers=20 企業役員=2
[58/118] OK 公益財団法人佐川がん研究振興財団 | officers=0 企業役員=0
[59/118] OK 公益財団法人中谷医工計測技術振興財団 | officers=19 企業役員=4
[60/118] OK 一樹工業技術奨励会 | officers=9 企業役員=5
[61/118] OK 味の素食の文化センター | officers=19 企業役員=3
[62/118] OK 一般用医薬品セルフメディケーション振興財団 | officers=14 企業役員=3
[63/118] OK 天田金属加工機械技術財団 | officers=22 企業役員=3
[64/118] OK 宇部興産学術振興財団 | officers=25 企業役員=2
[65/118] OK NHK厚生文化事業団 | officers=28 企業役員=2
[66/118] OK NSKメカトロニクス技術高度化財団 | officers=21 企業役員=2
[67/118] OK 大分放送文化振興財団 | officers=1 企業役員=1
[68/118] OK 社会福祉法人全国社会福祉協議会 | officers=118 企業役員=0
[69/118] OK エネルギア文化・スポーツ財団 | officers=26 企業役員=15
[70/118] OK えひめ産業振興財団 | officers=20 企業役員=2
[71/118] OK 大阪ガスグループ福祉財団 | officers=25 企業役員=6
[72/118] OK かごしま産業支援センター | officers=23 企業役員=1
[73/118] OK 神奈川県立産業技術総合研究所 | officers=16 企業役員=0
[74/118] OK OHKスポーツ振興財団スポーツ振興財団香川 | officers=0 企業役員=0
[75/118] OK 金萬有科学振興会 | officers=0 企業役員=0
[76/118] OK かんぽ財団 | officers=17 企業役員=1
[77/118] OK 北村メンタルヘルス学術振興財団 | officers=24 企業役員=0
[78/118] OK 機能水研究振興財団 | officers=1 企業役員=0
[79/118] OK 経済産業省 | officers=0 企業役員=0
[80/118] OK 救急振興財団 | officers=26 企業役員=2
[81/118] OK くまもと産業支援財団 | officers=21 企業役員=3
[82/118] OK 健康・体力づくり事業財団 | officers=19 企業役員=0
[83/118] OK 高齢者眼疾患研究財団 | officers=0 企業役員=0
[84/118] OK 岐阜県産業経済振興センター（旧：岐阜県研究開 | officers=27 企業役員=1
[85/118] OK 漁港漁場漁村技術研究所 | officers=26 企業役員=0
[86/118] OK 山陽特殊製鋼文化振興財団 | officers=13 企業役員=5
[87/118] OK 産業構造調査研究支援機構 | officers=1 企業役員=0
[88/118] OK 新製剤技術とエンジニアリング振興基金 | officers=17 企業役員=0
[89/118] OK 静岡新聞・静岡放送文化福祉事業団 | officers=15 企業役員=2
[90/118] OK ソニーグループ株式会社 | officers=10 企業役員=10
[91/118] OK 積水化学工業株式会社 | officers=22 企業役員=14
[92/118] OK 材料科学技術振興財団 | officers=1 企業役員=0
[93/118] OK 高岡産業文化振興基金 | officers=0 企業役員=0
[94/118] OK 鷹野学術振興財団 | officers=14 企業役員=0
[95/118] OK タニタ健康体重基金 | officers=0 企業役員=0
[96/118] OK 社会福祉振興・試験センター | officers=13 企業役員=1
[97/118] OK 先端加工機械技術振興協会 | officers=0 企業役員=0
[98/118] OK テレビ朝日福祉文化事業団 | officers=16 企業役員=2
[99/118] OK 富田昭子ガールスカウト振興財団 | officers=0 企業役員=0
[100/118] OK 鉄鋼環境基金　（旧：鉄鋼業環境保全技術開発基 | officers=19 企業役員=3
[101/118] OK 鳥取バイオサイエンス振興会 | officers=8 企業役員=5
[102/118] OK 日母おぎゃー献金基金 | officers=29 企業役員=0
[103/118] OK 新潟県インドアスポーツ振興米山財団 | officers=15 企業役員=4
[104/118] OK 新潟市芸術文化振興財団 | officers=23 企業役員=1
[105/118] OK 名古屋観光コンベンションビューロー | officers=34 企業役員=11
[106/118] OK 日本化学工業協会 | officers=27 企業役員=22
[107/118] OK 日本産業科学研究所 | officers=8 企業役員=1
[108/118] OK 日本感染症医薬品協会（旧：日本抗生物質学術協 | officers=44 企業役員=0
[109/118] OK 日本デジタル道路地図協会 | officers=15 企業役員=0
[110/118] OK 日本ガス協会 | officers=37 企業役員=33
[111/118] OK 日本森林技術協会 | officers=18 企業役員=1
[112/118] OK 日本私立学校振興・共済事業団 | officers=11 企業役員=0
[113/118] OK ハナマルキ株式会社 | officers=0 企業役員=0
[114/118] OK 日本応用酵素協会 | officers=40 企業役員=3
[115/118] OK 熱・電気エネルギー技術財団 | officers=16 企業役員=1
[116/118] OK 農学生命科学研究支援機構 | officers=0 企業役員=0
[117/118] OK 日本木材加工技術協会 | officers=27 企業役員=3
[118/118] OK ノーマライゼーション住宅財団 | officers=31 企業役員=9
