rank_in_inventory,canonical_key,formal_name,db_name,official_url,koeki_info_url,koeki_registered,admin_agency,prefecture_or_address,financial_document_year,annual_grant_amount_yen_existing,total_assets_yen_existing,jfc_rank_2022,foundation_subtype,koeki_research_score,duplicate_rows_collapsed,verification_status
13,海外子女教育振興財団,公益財団法人海外子女教育振興財団,公益財団法人海外子女教育振興財団,,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E6%B5%B7%E5%A4%96%E5%AD%90%E5%A5%B3%E6%95%99%E8%82%B2%E6%8C%AF%E8%88%88%E8%B2%A1%E5%9B%A3,yes,内閣府,東京都港区愛宕１丁目３番４号愛宕東洋ビル６階,,192000000,,,corporate,2,1,koeki_name_matched_official_url_needed
14,車両競技公益資金記念財団,公益財団法人車両競技公益資金記念財団,公益財団法人車両競技公益資金記念財団,http://www.vecof.or.jp/news/2017/06/292.html,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E8%BB%8A%E4%B8%A1%E7%AB%B6%E6%8A%80%E5%85%AC%E7%9B%8A%E8%B3%87%E9%87%91%E8%A8%98%E5%BF%B5%E8%B2%A1%E5%9B%A3,yes,内閣府,東京都文京区本郷３丁目２２番５号　住友不動産本郷ビル８階住友不動産本郷ビル８階,2022,188000000,,95,individual,3,1,official_url_and_koeki_name_matched
15,岩谷直治記念財団,公益財団法人岩谷直治記念財団,公益財団法人岩谷直治記念財団,,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E5%B2%A9%E8%B0%B7%E7%9B%B4%E6%B2%BB%E8%A8%98%E5%BF%B5%E8%B2%A1%E5%9B%A3,yes,内閣府,東京都千代田区内幸町二丁目２番３号日比谷国際ビル１８階,2024,188000000,,96,corporate,5,1,koeki_name_matched_official_url_needed
16,立石科学技術振興財団,公益財団法人立石科学技術振興財団,公益財団法人立石科学技術振興財団,https://www.tateisi-f.org/about/outline.html,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E7%AB%8B%E7%9F%B3%E7%A7%91%E5%AD%A6%E6%8A%80%E8%A1%93%E6%8C%AF%E8%88%88%E8%B2%A1%E5%9B%A3,yes,内閣府,京都府京都市下京区油小路通塩小路下る南不動堂町11番地,2024,184000000,,97,corporate,6,1,official_url_and_koeki_name_matched
17,野村財団,公益財団法人野村財団,公益財団法人野村財団,,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E9%87%8E%E6%9D%91%E8%B2%A1%E5%9B%A3,yes,内閣府,東京都江東区豊洲二丁目２番１号,2022,177000000,,100,corporate,5,1,koeki_name_matched_official_url_needed
18,三島海雲記念財団,公益財団法人三島海雲記念財団,三島海雲記念財団,http://www.mishima-kaiun.or.jp,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E4%B8%89%E5%B3%B6%E6%B5%B7%E9%9B%B2%E8%A8%98%E5%BF%B5%E8%B2%A1%E5%9B%A3,yes,内閣府,東京都渋谷区広尾１丁目６番１０号ジラッファビル,2024est,140000000,,,individual,5,1,official_url_and_koeki_name_matched
19,日本フィランソロピック財団,公益財団法人日本フィランソロピック財団,日本フィランソロピック財団,https://np-foundation.or.jp/information/000369.html,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E6%97%A5%E6%9C%AC%E3%83%95%E3%82%A3%E3%83%A9%E3%83%B3%E3%82%BD%E3%83%AD%E3%83%94%E3%83%83%E3%82%AF%E8%B2%A1%E5%9B%A3,yes,内閣府,東京都東京都港区新橋1丁目１－１３アーバンネット内幸町ビル3階,2024est,113000000,,,intl,1,1,official_url_and_koeki_name_matched
20,サントリー生命科学財団,公益財団法人サントリー生命科学財団,公益財団法人サントリー生命科学財団,http://www.sunbor.or.jp,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E3%82%B5%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC%E7%94%9F%E5%91%BD%E7%A7%91%E5%AD%A6%E8%B2%A1%E5%9B%A3,yes,内閣府,京都府相楽郡精華町精華台８丁目１番地１,,100000000,,,corporate,4,1,official_url_and_koeki_name_matched
21,小野薬品がん免疫神経研究財団,公益財団法人小野薬品がん・免疫・神経研究財団,小野薬品がん・免疫・神経研究財団,https://ono-pharma.fdn.or.jp,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E5%B0%8F%E9%87%8E%E8%96%AC%E5%93%81%E3%81%8C%E3%82%93%E3%83%BB%E5%85%8D%E7%96%AB%E3%83%BB%E7%A5%9E%E7%B5%8C%E7%A0%94%E7%A9%B6%E8%B2%A1%E5%9B%A3,yes,内閣府,大阪府大阪市中央区道修町二丁目１番５号,2024est,100000000,,,corporate,4,1,official_url_and_koeki_name_matched
22,大川情報通信基金,公益財団法人大川情報通信基金,大川情報通信基金（略称：大川財団）,http://www.okawa-foundation.or.jp,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E5%A4%A7%E5%B7%9D%E6%83%85%E5%A0%B1%E9%80%9A%E4%BF%A1%E5%9F%BA%E9%87%91,yes,内閣府,東京都千代田区平河町一丁目8番2号　山京半蔵門パレス,,100000000,,,individual,3,1,official_url_and_koeki_name_matched
23,ロッテ財団,公益財団法人ロッテ財団,ロッテ財団,,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E3%83%AD%E3%83%83%E3%83%86%E8%B2%A1%E5%9B%A3,yes,内閣府,東京都新宿区西新宿３丁目20-2,2024est,100000000,,,corporate,0,1,koeki_name_matched_official_url_needed
24,放送文化基金,公益財団法人放送文化基金,公益財団法人放送文化基金,https://www.hbf.or.jp/grants/society-culture,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E6%94%BE%E9%80%81%E6%96%87%E5%8C%96%E5%9F%BA%E9%87%91,yes,内閣府,東京都渋谷区神山町9番6号,,87150000,,,other,2,1,official_url_and_koeki_name_matched
25,加藤記念バイオサイエンス振興財団,公益財団法人加藤記念バイオサイエンス振興財団,加藤記念バイオサイエンス振興財団,https://www.katokinen.or.jp,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E5%8A%A0%E8%97%A4%E8%A8%98%E5%BF%B5%E3%83%90%E3%82%A4%E3%82%AA%E3%82%B5%E3%82%A4%E3%82%A8%E3%83%B3%E3%82%B9%E6%8C%AF%E8%88%88%E8%B2%A1%E5%9B%A3,yes,内閣府,東京都町田市旭町３丁目６番６号,2024est,80000000,,,individual,6,1,official_url_and_koeki_name_matched
26,マツダ財団,公益財団法人マツダ財団,マツダ財団,,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E3%83%9E%E3%83%84%E3%83%80%E8%B2%A1%E5%9B%A3,yes,内閣府,広島県安芸郡府中町新地３番１号マツダ株式会社内,2024est,61090000,,,corporate,5,1,koeki_name_matched_official_url_needed
27,ニッポンハム食の未来財団,公益財団法人ニッポンハム食の未来財団,ニッポンハム食の未来財団,,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E3%83%8B%E3%83%83%E3%83%9D%E3%83%B3%E3%83%8F%E3%83%A0%E9%A3%9F%E3%81%AE%E6%9C%AA%E6%9D%A5%E8%B2%A1%E5%9B%A3,yes,内閣府,茨城県つくば市千現2-1-6つくば研究支援センター　A-24つくば研究支援センター　A-24,2024est,60000000,,,corporate,2,1,koeki_name_matched_official_url_needed
28,先進医薬研究振興財団,公益財団法人先進医薬研究振興財団,先進医薬研究振興財団,https://www.taisho.co.jp/company/news/2023/20231213001469,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E5%85%88%E9%80%B2%E5%8C%BB%E8%96%AC%E7%A0%94%E7%A9%B6%E6%8C%AF%E8%88%88%E8%B2%A1%E5%9B%A3,yes,内閣府,大阪府大阪市中央区道修町三丁目2番10号,2024est,50000000,,,academic,4,1,official_url_and_koeki_name_matched
29,花王芸術科学財団,公益財団法人花王芸術・科学財団,花王芸術・科学財団,https://www.kao-foundation.or.jp,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E8%8A%B1%E7%8E%8B%E8%8A%B8%E8%A1%93%E3%83%BB%E7%A7%91%E5%AD%A6%E8%B2%A1%E5%9B%A3,yes,内閣府,東京都中央区日本橋茅場町一丁目１４番１０号,2024est,50000000,,,corporate,4,1,official_url_and_koeki_name_matched
30,三菱ufj技術育成財団,公益財団法人三菱ＵＦＪ技術育成財団,三菱ＵＦＪ技術育成財団,,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E4%B8%89%E8%8F%B1%EF%BC%B5%EF%BC%A6%EF%BC%AA%E6%8A%80%E8%A1%93%E8%82%B2%E6%88%90%E8%B2%A1%E5%9B%A3,yes,内閣府,東京都港区芝２丁目４番３号,2024est,50000000,,,corporate,3,1,koeki_name_matched_official_url_needed
31,小林製薬青い鳥財団,公益財団法人小林製薬青い鳥財団,小林製薬青い鳥財団,https://www.kobayashi-foundation.or.jp/assist,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E5%B0%8F%E6%9E%97%E8%A3%BD%E8%96%AC%E9%9D%92%E3%81%84%E9%B3%A5%E8%B2%A1%E5%9B%A3,yes,内閣府,東京都港区六本木一丁目７番２７号,2024est,50000000,,,corporate,2,1,official_url_and_koeki_name_matched
32,長瀬科学技術振興財団,公益財団法人長瀬科学技術振興財団,長瀬科学技術振興財団,https://www.nagase-f.or.jp,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E9%95%B7%E7%80%AC%E7%A7%91%E5%AD%A6%E6%8A%80%E8%A1%93%E6%8C%AF%E8%88%88%E8%B2%A1%E5%9B%A3,yes,内閣府,大阪府大阪市西区新町１丁目１番１７号,2024est,40000000,,,individual,5,1,official_url_and_koeki_name_matched
33,牧誠財団,公益財団法人牧誠財団,牧誠財団,https://melco-foundation.jp,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E7%89%A7%E8%AA%A0%E8%B2%A1%E5%9B%A3,yes,内閣府,愛知県名古屋市天白区島田四丁目１７０１番の２,2024est,40000000,,,individual,3,1,official_url_and_koeki_name_matched
34,日工組社会安全研究財団,公益財団法人日工組社会安全研究財団,日工組社会安全研究財団,https://www.syaanken.or.jp/?p=14196,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E6%97%A5%E5%B7%A5%E7%B5%84%E7%A4%BE%E4%BC%9A%E5%AE%89%E5%85%A8%E7%A0%94%E7%A9%B6%E8%B2%A1%E5%9B%A3,yes,内閣府,東京都千代田区内神田１丁目７番８号,2024est,40000000,,,group,2,1,official_url_and_koeki_name_matched
35,ホソカワ粉体工学振興財団,公益財団法人ホソカワ粉体工学振興財団,ホソカワ粉体工学振興財団,https://www.kona.or.jp/jp/grants,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E3%83%9B%E3%82%BD%E3%82%AB%E3%83%AF%E7%B2%89%E4%BD%93%E5%B7%A5%E5%AD%A6%E6%8C%AF%E8%88%88%E8%B2%A1%E5%9B%A3,yes,内閣府,大阪府枚方市招提田近１丁目９番地,2024est,30000000,,,corporate,5,1,official_url_and_koeki_name_matched
36,金原一郎記念医学医療振興財団,公益財団法人金原一郎記念医学医療振興財団,金原一郎記念医学医療振興財団,http://www.kanehara-zaidan.or.jp,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E9%87%91%E5%8E%9F%E4%B8%80%E9%83%8E%E8%A8%98%E5%BF%B5%E5%8C%BB%E5%AD%A6%E5%8C%BB%E7%99%82%E6%8C%AF%E8%88%88%E8%B2%A1%E5%9B%A3,yes,内閣府,東京都文京区本郷１丁目２８番２４号,2024est,30000000,,,individual,5,1,official_url_and_koeki_name_matched
37,りそなアジアオセアニア財団,公益財団法人りそなアジア・オセアニア財団,りそなアジア・オセアニア財団,https://www.resona-ao.or.jp,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E3%82%8A%E3%81%9D%E3%81%AA%E3%82%A2%E3%82%B8%E3%82%A2%E3%83%BB%E3%82%AA%E3%82%BB%E3%82%A2%E3%83%8B%E3%82%A2%E8%B2%A1%E5%9B%A3,yes,内閣府,大阪府大阪市中央区備後町２丁目１番８号備後町野村ビル,2024est,30000000,,,corporate,3,1,official_url_and_koeki_name_matched
38,パナソニック教育財団,公益財団法人パナソニック教育財団,パナソニック教育財団,https://www.pef.or.jp/kokoro-forum/project/?utm_source=canpan&utm_medium=web&utm_campaign=kokoro2025,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E3%83%91%E3%83%8A%E3%82%BD%E3%83%8B%E3%83%83%E3%82%AF%E6%95%99%E8%82%B2%E8%B2%A1%E5%9B%A3,yes,内閣府,東京都港区虎ノ門１丁目１番１０号第２ローレルビル６階,2024est,30000000,,,corporate,3,1,official_url_and_koeki_name_matched
39,太陽生命厚生財団,公益財団法人太陽生命厚生財団,太陽生命厚生財団,http://www.taiyolife-zaidan.or.jp,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E5%A4%AA%E9%99%BD%E7%94%9F%E5%91%BD%E5%8E%9A%E7%94%9F%E8%B2%A1%E5%9B%A3,yes,内閣府,東京都大田区大森北１丁目１７番４号太陽生命大森ビル９階,2024est,30000000,,,corporate,3,1,official_url_and_koeki_name_matched
40,ちゅうでん教育振興財団,公益財団法人ちゅうでん教育振興財団,ちゅうでん教育振興財団,https://www.chuden-edu.or.jp/oubo/oubo1/oubo1.html,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E3%81%A1%E3%82%85%E3%81%86%E3%81%A7%E3%82%93%E6%95%99%E8%82%B2%E6%8C%AF%E8%88%88%E8%B2%A1%E5%9B%A3,yes,内閣府,愛知県名古屋市東区東桜２丁目６番３０号東桜会館4F,2024est,30000000,,,academic,2,1,official_url_and_koeki_name_matched
41,カインズデジタルイノベーション財団,公益財団法人カインズデジタルイノベーション財団,カインズデジタルイノベーション財団,https://cainz-dif.or.jp/grant/2025,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E3%82%AB%E3%82%A4%E3%83%B3%E3%82%BA%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E3%82%A4%E3%83%8E%E3%83%99%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E8%B2%A1%E5%9B%A3,yes,内閣府,埼玉県本庄市早稲田の杜１丁目２番１号,2024est,30000000,,,corporate,2,1,official_url_and_koeki_name_matched
42,ソニー音楽財団,公益財団法人ソニー音楽財団,ソニー音楽財団,https://www.smf.or.jp/kok,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E3%82%BD%E3%83%8B%E3%83%BC%E9%9F%B3%E6%A5%BD%E8%B2%A1%E5%9B%A3,yes,内閣府,東京都千代田区六番町４番地５,2024est,30000000,,,corporate,0,1,official_url_and_koeki_name_matched
43,全国銀行学術研究振興財団,公益財団法人全国銀行学術研究振興財団,全国銀行学術研究振興財団,https://www.zenginzaidan.jp,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E5%85%A8%E5%9B%BD%E9%8A%80%E8%A1%8C%E5%AD%A6%E8%A1%93%E7%A0%94%E7%A9%B6%E6%8C%AF%E8%88%88%E8%B2%A1%E5%9B%A3,yes,内閣府,東京都千代田区丸の内一丁目3番1号,,25200000,,,group,4,1,official_url_and_koeki_name_matched
44,萩原学術振興財団,公益財団法人萩原学術振興財団,萩原学術振興財団,https://www.hagiwara-foundation.or.jp,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E8%90%A9%E5%8E%9F%E5%AD%A6%E8%A1%93%E6%8C%AF%E8%88%88%E8%B2%A1%E5%9B%A3,yes,内閣府,愛知県名古屋市東区東桜二丁目２番１号,2024est,20000000,,,academic,6,1,official_url_and_koeki_name_matched
45,大同生命厚生事業団,公益財団法人大同生命厚生事業団,公益財団法人大同生命厚生事業団,https://www.daido-life-welfare.or.jp,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E5%A4%A7%E5%90%8C%E7%94%9F%E5%91%BD%E5%8E%9A%E7%94%9F%E4%BA%8B%E6%A5%AD%E5%9B%A3,yes,内閣府,大阪府大阪市西区江戸堀１丁目２番１号,2024est,20000000,,,corporate,2,1,official_url_and_koeki_name_matched
46,住友生命健康財団,公益財団法人住友生命健康財団,住友生命健康財団,https://skzaidan.or.jp,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E4%BD%8F%E5%8F%8B%E7%94%9F%E5%91%BD%E5%81%A5%E5%BA%B7%E8%B2%A1%E5%9B%A3,yes,内閣府,東京都新宿区四谷本塩町４番４１号,2024est,20000000,,,corporate,0,1,official_url_and_koeki_name_matched
47,同仁化学学術振興財団,公益財団法人同仁化学学術振興財団,公益財団法人同仁化学学術振興財団,https://www.fost.or.jp/guidelines.html,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E5%90%8C%E4%BB%81%E5%8C%96%E5%AD%A6%E5%AD%A6%E8%A1%93%E6%8C%AF%E8%88%88%E8%B2%A1%E5%9B%A3,yes,内閣府,熊本県上益城郡益城町田原２０２５番地５,,17000000,,,corporate,6,1,official_url_and_koeki_name_matched
