no,formal_name,url,admin,purpose_summary,annual_grant_amount_yen,annual_grant_year,award_count_2024_2025,basic_assets_yen,total_assets_yen,main_programs,jfc_rank,extraction_status,source_basis
13,公益財団法人赤枝医学研究財団,,内閣府,人類の保健の向上のための研究助成事業、学会助成事業、医療関係者奨学金支給事業,,,,,,研究助成,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
14,公益財団法人金原一郎記念医学医療振興財団,http://www.kanehara-zaidan.or.jp,内閣府,人類の健康増進を図ることを使命とし，主として基礎的な医学医療に関する分野において研究助成，研究交流助成，その他の研究に関する事業を行い，もって医学医療の振興に寄与すること。,30000000,2024est,,,,留学生受入助成金,,DB抽出済,koeki_research_foundations + corporate_research_grants.sqlite
15,公益財団法人高松宮妃癌研究基金,http://www.ptcrf.or.jp,内閣府,わが国の学術の振興及び人類の福祉に寄与することを目的として、癌に関する研究を奨励助成する。そのため研究助成金・学術賞の贈呈及び国際シンポジウム、国際講演会、AACR高松宮妃記念講演会等の諸事業を行う。,,,,,,研究助成,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
16,公益財団法人三重医学研究振興会,,三重県,医学・医療分野の学術研究に対する助成、医療従事者への医学・医療に関する知識等の普及活動実施団体に対する助成並びに地域における医療の質的向上を目的とする事業を実施する。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
17,公益財団法人中冨健康科学振興財団,https://www.nakatomi.or.jp,内閣府,健康の維持・増進の為の医学・薬学ならびに運動を主体とする健康増進に関する科学の基礎研究及び応用研究に対して助成する,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
18,公益財団法人京都府医学振興会,,京都府,この法人は、医学研究及び地域医療に対する奨励及び助成等並びに地域医療と連携した共生社会の実現に向けた支援を行い、医学及び医療水準の向上並びに地域社会の福祉の増進に寄与する事業を行う。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
19,公益財団法人加藤記念バイオサイエンス振興財団,https://www.katokinen.or.jp,内閣府,バイオサイエンス分野において、研究・国際交流・学会開催等に対する助成、シンポジウム・報告会の開催、及びこれら成果の発表を行うことにより、科学技術の振興を図る。,80000000,2024est,,,,第37回（2025年度）加藤記念研究助成 / 第37回加藤記念学会等開催助成,,DB抽出済,koeki_research_foundations + corporate_research_grants.sqlite
20,公益財団法人山口内分泌疾患研究振興財団,https://www.yamaguchi-endocrine.org,内閣府,内分泌疾患の成因・診断・治療・予防等に関する多角的な研究の助成ならびに研究会・講演会の開催、医療機関への知識の普及及び啓発等・奨学寄附を行うことにより、医学・医療の進歩に貢献し国民の健康に寄与する。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
21,公益財団法人昭和医科大学医療振興財団,,内閣府,優れた教育・研究および医療の実践者に対する顕彰、教育・研究成果の公表、医学・生命科学に関する資料の収集および調査研究等を行う。,,,,,,研究奨励・助成,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
22,公益財団法人秋山記念生命科学振興財団,https://www.akiyama-foundation.org,北海道,健康維持・増進に関連する生命科学の基礎研究を奨励し、学術の振興及び地場産業の育成に寄与することを目的とし、各種研究、活動等に対する褒賞・助成等を行っている。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
23,公益財団法人肥後医育振興会,http://www.119higo.com,熊本県,熊本県における医学振興に必要な教育・研究の助成及び委託業務を行い、もって地域医療の向上と県民の健康増進及び日本国内外の医学・医療の進展に寄与することを目的とする。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
24,公益財団法人難病医学研究財団,https://www.nanbyou.jp,内閣府,難治性疾患等に関する調査研究の実施及び助成、関係学術団体等との連携、情報の収集・提供及び知識の啓発・普及並びに医療従事者等への技術研修など,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
25,公益財団法人両備てい園記念財団,http://www.ryobi.gr.jp/teienzaidan,岡山県,生物学に係る研究の増進、学術・文化・教育に係る研究の増進、スポーツ・文化振興及び文化財保護保存に寄与することを目的とし、研究助成を主体に各助成を行っている。,,,,,,研究助成,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
26,公益財団法人成長科学協会,http://www.fgs.or.jp,内閣府,成長科学の研究、成長障害疾患の診断、治療等の調査研究等を通じて国民医療の向上を図るため、研究助成、学術集会開催や国際学会参加の助成、成長ホルモン適正使用指導、ヨウ素関連調査研究等の活動を行なっている。,,,,,,研究助成,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
27,公益財団法人森村豊明会,http://morimura-houmeikai.jp/support,内閣府,助成事業 1）優秀な研究者・学生を奨励するための助成、2）社会貢献する福祉・教育・医療団体等への助成、3）その他この法人の目的を達成するために必要な助成,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
28,公益財団法人サントリー生命科学財団,http://www.sunbor.or.jp,内閣府,生物有機化学の領域の研究を行うとともに、これらの研究の奨励助成を行う。また、これ らの研究を行う人材育成を図る。,100000000,,,,,助成事業,,DB抽出済,koeki_research_foundations + corporate_research_grants.sqlite
29,公益財団法人タムス岡本記念財団,,千葉県,千葉県内の医学部、医学系研究部門またはその他の医学系研究機関（以下「医学部等」）に勤務する研究者への研究助成金事業、および、千葉県内の医学部等への医療経営人材育成プログラム助成金事業,,,,,,研究助成,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
30,公益財団法人先進医薬研究振興財団,https://www.taisho.co.jp/company/news/2023/20231213001469,内閣府,精神薬量分野、血液医学分野、循環医学分野の研究支援のための助成事業,50000000,2024est,,,,循環医学分野 一般研究助成 / 循環医学分野 若手研究者助成 / 血液医学分野 一般研究助成 / 血液医学分野 若手研究者助成,,DB抽出済,koeki_research_foundations + corporate_research_grants.sqlite
31,公益財団法人冲中記念成人病研究所,http://okiken.tokyo,内閣府,昭和４８年成人病の研究を通じ、医療水準の向上と医学の進歩に寄与すべく設立。虎の門病院と一体不離の関係を保ち、臨床の場で発生する学問的疑問・課題を究明する。また、国内の研究者に対し研究費を助成。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
32,公益財団法人小野薬品がん・免疫・神経研究財団,https://ono-pharma.fdn.or.jp,内閣府,国民の健康と福祉に貢献する基礎研究に対し研究助成を行い、最先端の研究者等の優れた人材を育成するため、がん・免疫・神経領域における医学・薬学等の基礎研究を行う研究者に対する助成事業を実施する。,100000000,2024est,,,,小野薬品がん・免疫・神経研究財団　2026年度研究助成,,DB抽出済,koeki_research_foundations + corporate_research_grants.sqlite
33,公益財団法人川崎医学・医療福祉学振興会,https://z.kawasaki-m.ac.jp,岡山県,岡山県内における医学・医療福祉学の向上と発展を促進し、もって県民の健康増進と医学・医療及び福祉に係わる人材の育成に寄与することを目的とし、医学・医療福祉学に係る助成事業等を行う。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
34,公益財団法人日本脳神経財団,,内閣府,研究助成事業、学術集会等の開催及び開催の助成事業、医師等の教育事業、市民に対する啓発事業、国際交流協力事業,,,,,,研究助成,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
35,公益財団法人第一三共生命科学研究振興財団,https://www.ds-fdn.or.jp,内閣府,生命科学特に疾病と治療に関する諸分野の基礎的研究並びに臨床への応用的研究に対する助成事業並びに当該研究分野において進歩発展に貢献のあった研究者に対する褒賞事業,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
36,公益財団法人興和生命科学振興財団,https://www.kowa.co.jp/kzd,内閣府,人類の疾病と予防に関する自然科学の研究に対する助成事業を行う。 国際経済人としての人材育成のため、国際ビジネスに関する最新情報や貿易実務習得のための研修を開催する。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
37,公益財団法人サッポロ生物科学振興財団,,内閣府,この法人は、バイオサイエンス分野の諸研究調査に対し奨励助成を行い、もってわが国における豊かな食文化の創造に貢献する。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
38,公益財団法人岩城留学生奨学会,,内閣府,アジア諸国から我が国の大学に医学・薬学・化学等の勉学・研究のため留学する者に対する奨学援助事業及び令和6年能登半島地震で被災した学生に対する奨学助成事業,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
39,公益財団法人渡邉財団,https://watanabe-zaidan.or.jp,内閣府,公1）磁気健康科学に関する研究及び技術動向調査・研究に対する助成を行う　 公2）海外において自然科学や人文科学に関する学問及び研究を行う留学者に対して奨学助成を行う,200000000,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
40,公益財団法人福田記念医療技術振興財団,http://www.fukudakinen.or.jp,内閣府,医用電子工学を利用した医療技術に関する研究を行う研究機関及び研究者に助成し、振興し、当該研究に関する国際交流に対して援助を図り、医療技術の普及・向上を進め、もって国民の福祉に寄与する。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
41,公益財団法人つくし奨学・研究基金,,内閣府,医学・薬学を中心とする学術研究を行う国内外の学生及びこれに準ずる研究者を対象に、奨学金の給付、その他の目的を達成するために必要な事業を行っている。,,,,,,研究奨励・助成,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
42,公益財団法人シオノギ感染症研究振興財団,,内閣府,人類にとって脅威となる感染症に関する研究並びに活動を援助奨励し、もって学術の振興及 び人類の健康と福祉に寄与することを目的とし、感染症に関する研究・活動への助成支援事 業を行う。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
43,公益財団法人ノバルティス科学振興財団,http://www.novartisfound.or.jp,内閣府,生命科学に関連する分野の研究等を奨励し、学術の振興を図る事業,,,,,,研究奨励・助成,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
44,公益財団法人ホクト生物科学振興財団,http://www.hokto-kinoko.co.jp/etc/bio.php,内閣府,バイオテクノロジー関連の研究活動に対する助成他,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
45,公益財団法人京都健康管理研究会,,京都府,難治性疾患や他の疾病に関する調査・研究の成果を広く社会に啓発・普及させるべく、医学・医療を中心とする学術分野に関し、集会・書籍等で必要な情報提供する事業、ならびに、これらに係る人材育成及び活動を助成する事業。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
46,公益財団法人信州医学振興会,http://www.shinshu-u.ac.jp/group/i-shinkoukai,長野県,長野県における医学及び医療の発展並びに医療水準の向上を目途として、医学・医療研究 の助成、研究会開催助成、県民の健康知識の普及と向上、地域医療人の人材育成に対する 助成等の諸活動。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
47,公益財団法人健康加齢医学振興財団,,内閣府,（１）健康な加齢と加齢による疾患に関する研究者の顕彰 （２）健康な加齢と加齢による疾患に関する学術研究及び学術集会開催の支援助成 （３）健康な加齢と加齢による疾患に関する講演会、シンポジウムの開催,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
48,公益財団法人医学教育振興財団,https://www.jmef.or.jp,内閣府,医学教育の充実向上に資するための調査研究、助成、研修等の事業を行う。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
49,公益財団法人医療機器センター,https://www.jaame.or.jp/mdsi/activity,内閣府,医療機器の研究開発等に関する調査研究をし、適正な普及、及び向上を助長奨励するとともに認証を行い、医療機器産業の健全な発展を図り、臨床工学技士の育成に努め、もって国民の健康増進及び医学の向上に寄与する,,,,,,研究奨励・助成,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
50,公益財団法人国際医学研究振興財団,https://ifpmr.or.jp,内閣府,(1)　我が国の医学研究者の海外留学に対する助成 (2)　我が国の若手の医学研究者の海外研究発表に対する助成 (3)　国内及び海外で開催される医学に関する分野の国際シンポジウムに対する助成,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
51,公益財団法人岡山医学振興会,http://omf.umin.ac.jp,岡山県,1.医学に関する教育及び研究活動に対する助成　2.医学に関する市民講座,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
52,公益財団法人岩垂奨学会,,内閣府,工学系、理学系、医学系及び薬学系研究科に属する大学院生で学力優秀、健康、志操堅固であり学資支弁困難な者に対する奨学金給付等及び理工学、医薬学研究で独創的、応用的な研究に従事し活躍する研究者への顕彰。,,,,,,研究奨励・助成,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
53,公益財団法人広島がんセミナー,,広島県,がんに関する学術研究集会その他の催しの開催、及び医療従事者への助成支援を行い、もって学術振興と地域医療の発展に寄与する事業,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
54,公益財団法人木原記念横浜生命科学振興財団,http://www.kihara.or.jp,神奈川県,学術交流・奨励を行い生命科学研究の重要性を伝えるとともに、生命科学における大学や研究機関と産業界等との共同研究を組織化し、及び自ら共同研究に参画することをもって、生命科学の振興と産業の活性化に寄与する,,,,,,研究奨励・助成,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
55,公益財団法人札幌がんセミナー,,内閣府,札幌ほかの地域においてがんに関する学術研究集会の定期開催のほか海外での学術調査研究を行う。また市民に対するがんの予防・啓発、相談事業を行う。その他、医学・医療関連の学会、研究への助成支援を行う。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
56,公益財団法人東洋医学研究財団,,愛知県,東洋医学に関する研究等に対する助成を行う事業 講演会の開催等により東洋医学の学術の振興と啓発及び普及を図る事業,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
57,公益財団法人東洋紡バイオテクノロジー研究財団,http://www.toyobo.co.jp/biofund,内閣府,バイオテクノロジー及びその関連の科学技術の調査、研究開発を助成し、その成果を通じて、より高度な文明社会の創造に寄与することを目的とし、研究会の開催、各種資料の刊行、助成金の交付等の事業を行う。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
58,公益財団法人細胞科学研究財団,https://www.shionogi.com/jp/ja/zaidan,内閣府,医学、薬学、生物学等の基礎としての生命科学の分野における細胞レベルでの研究、研究者の育成ならびに国際交流の推進に対する助成,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
59,公益財団法人薬学研究奨励財団,http://yakusho.org,内閣府,薬学研究の発展を目的として、薬学及び関連諸分野の基礎並びに応用研究への助成や国際学術交流として、研究者の海外派遣、研究者の招聘補助や国際会議の開催補助を行い、それらの成果を報告集として発行している。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
60,公益財団法人青蓮会,,京都府,この法人は、医学教育、研究に対する奨励及び医療に関する啓蒙普及等を行い、もって医学、医療の水準の向上及び地域社会の福祉の増進に寄与することを目的とする。,,,,,,研究奨励・助成,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
61,公益財団法人ふくおか公衆衛生推進機構,,内閣府,地域振興立法5法に基づく山間部、過疎地等の地域住民、中小零細企業労働者の健診等の実施と共に得られたデータにより、調査研究・普及啓発・研究助成を行い、地域住民の保健・医療・福祉の向上に寄与する事業,,,,,,研究助成,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
62,公益財団法人北野生涯教育振興会,,内閣府,健康で豊かな知識と情操を有する人材の育成に資することを目的として、生涯教育の振興を図るため、生涯教育に関する助成事業、学習者に対する奨学助成事業、講演会、研修会、論文募集等の事業を行っている。,,,,,,生涯教育に関する調査・研究への助成,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
63,公益財団法人橘勝会,,石川県,保健衛生及び成人病の早期発見に関して、地域住民を啓発するとともに、これらに関する 研究を奨励助成し、その他必要な事業を行い、もって石川県の保健・医療水準の向上に寄 与する。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
64,公益財団法人ヤクルト・バイオサイエンス研究財団,http://yakult-bioscience.or.jp,内閣府,(公１)腸内フローラを主体としたバイオサイエンス研究助成および国際交流助成を行う事業 （公２）腸内フローラを主体としたバイオサイエンスに関する普及・啓発事業 （公３）腸内フローラを主体としたバイオサイエンスに関する調査研究事業,,,,,,研究助成,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
65,公益財団法人安田記念医学財団,https://yasuda-mf.or.jp,内閣府,1癌の本態と発癌機構の解明並びに癌の予防と治療に対する研究助成事業 2癌研究の国際協力･国際交流に対する助成事業 3癌看護に関する研究助成事業 4癌に関する知識の普及を図り、国民の健康と福祉の増進に貢献するため、小冊子などの発行、配布事業 5その他この法人の目的を達成するために必要な事業,,,,,,研究助成,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
66,公益財団法人宮城県対がん協会,,宮城県,がん予防対策の調査研究、医療従事者・県民へのがん予防の普及啓発活動、データ収集のがん検診を実施。がん患者・家族への相談事業、医師や医療従事者の養成及び若手医師等へ研究助成を行う。,,,,,,研究助成,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
67,公益財団法人新日本先進医療研究財団,,内閣府,「がん」および「生活習慣病」の早期撲滅めざして、先進医療分野の研究を行う研究者及び、研究機関への研究費の助成、優れた成果を挙げた研究者及び研究機関に対する褒賞、研究会や講演会開催への助成事業を行う。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
68,公益財団法人社会医学研究センター,,内閣府,労働・生活と健康に関する調査・研究事業及び研究助成事業並びに成果の社会への発表と相談活動,,,,,,研究助成,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
69,公益財団法人大塚芳満記念財団,,徳島県,徳島県内の医学・歯学・薬学・栄養学を専攻する有能学生・大学院生に対する奨学助成、優秀スポーツ選手に対する援助、経済的に困難な状況にある高校生等に対する奨学援助、医学及び科学技術の振興に寄与する事業,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
70,公益財団法人健康科学財団,,内閣府,自然科学、社会科学及び人文科学分野における健康問題に関連した独創的な研究に対する助成及び同分野の普及啓発を行い、もってわが国の学術の振興に寄与する諸活動を行う。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
71,公益財団法人富徳会,http://www.isi-sys.net/futokukai,内閣府,口腔保健・医療の向上に寄与致したく、特に口腔衛生学・小児歯科学および公衆衛生学などの学術研究および調査研究を目的とする若手研究者・団体への助成を行い、もって社会の福祉に貢献する。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
72,公益財団法人木村看護教育振興財団,https://www.nurseed.jp,内閣府,１.看護研究・調査等に対する助成　２.海外看護研修に対する助成　３.専門看護師を目指す者への奨学金助成　４.看護職者を対象にした看護に関する講演会の開催,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
73,公益財団法人杉山記念財団,,内閣府,生殖医療の振興を図るため、生殖医療に関する研究論文の表彰並びに生殖医療に関する学術集会の開催及び研究活動への助成支援を行い、もってわが国の学術の振興及び医療の発展に寄与する,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
74,公益財団法人水谷糖質科学振興財団,,内閣府,本邦及び海外における糖質科学研究者の独創的な研究に対し助成を行い、糖質科学研究者の交流を奨励し、その知識及び情報の普及啓発に努めて糖質科学の振興を図り、もって人類福祉の向上に寄与する。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
75,公益財団法人西山デンタルアカデミー,,内閣府,歯科医療の振興を図るため、歯科医療に関する研究活動への助成支援を行い、もってわが国の学術の振興及び医療の発展向上に寄与する。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
76,公益財団法人内視鏡医学研究振興財団,,内閣府,医学振興への貢献と人類の福祉向上に寄与することを目的として、内視鏡医学に関する研究等に対する助成及び顕彰事業を行っている。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
77,公益財団法人大山健康財団,http://www.ohfin.com,内閣府,予防医学的研究及び健康増進に関する助成及び医療活動に対する顕彰等の公益活動事業を援助推進し、もって人類の健康と社会の福祉に寄与している。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
78,公益財団法人大阪公衆衛生協会,,大阪府,大阪府内における地域住民の健康の保持・増進のために、講演会や研修会等による教育・普及啓発、地域での公衆衛生活動を行っている個人や団体への奨励、調査研究への助成、感染症対策事業などを行っている。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
79,公益財団法人大阪難病研究財団,https://www.takatafound.or.jp/news/detail.php?id=120,内閣府,当法人は、難病に関する調査研究、医学研究や国際交流の助成、情報の収集と提供、知識の普及啓発並びに研修等の事業を行い、難病の医療水準の向上を目指しております。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
80,公益財団法人小林がん学術振興会,http://kficc.or.jp,内閣府,がん薬物療法に関する研究に対する助成及び表彰、がん治療分野における優れた社会活動に対する表彰及び最新の学術情報の普及啓発を通じた人材育成活動に対する助成を行い、がん治療成績の向上及び進展に寄与する．,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
